date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:10	25206/25206	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2016:29:07%20GMT	https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/Special_PrefixIndex/LavishScript_.html	(from )
10:29:12	14563/14563	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Aliases	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Aliases.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:13	18516/18516	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Atoms	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Atoms.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:14	13939/13939	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Command_Files	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Command_Files.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:15	16053/16053	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Command_Syntax	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Command_Syntax.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:17	25805/25805	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Commands	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Commands.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:18	28601/28601	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Data	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Data.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:19	13439/13439	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2016:29:16%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Data_Retrieval	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Data_Retrieval.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:21	28173/28173	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Data_Sequences	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Data_Sequences.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:21	28945/28945	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Data_Types	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Data_Types.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:23	21902/21902	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Designing_Scripts	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Designing_Scripts.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:24	14069/14069	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Developing_Commands	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Developing_Commands.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:25	15791/15791	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Developing_Data_Types	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Developing_Data_Types.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:27	24001/24001	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Developing_Top-Level_Objects	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Developing_Top-Level_Objects.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:30	19230/19230	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Difficulty_Rating_System	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Difficulty_Rating_System.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
10:29:31	15483/15483	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2008:56:46%20GMT	https://www.lavishsoft.com/wiki/index.php/LavishScript:Discussing	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/LavishScriptWiki/LavishScript/www.lavishsoft.com/wiki/index.php/LavishScript_Discussing.html	(from https://www.lavishsoft.com/wiki/index.php/Special:PrefixIndex/LavishScript:)
